x,y,z
-5.6358,0.6455,-0.9138
-5.6358,1.2910,0.4569
-5.0426,0.6455,0.0000
-5.0426,1.2910,0.4569
-4.4493,0.6455,0.0000
-4.4493,1.2910,-0.4569
-3.8561,0.6455,-0.9138
-3.8561,0.6455,3.1982
-3.8561,1.2910,2.7414
-3.2629,0.6455,2.2845
-3.2629,1.2910,1.8276
-2.6696,0.6455,1.3707
-2.6696,1.2910,0.9138
-2.0764,0.6455,-1.3707
-2.0764,1.2910,-3.1982
-2.0764,1.2910,0.9138
-1.4831,0.6455,-1.8276
-1.4831,0.6455,2.2845
-1.4831,1.2910,-0.4569
-0.8899,0.6455,-3.1982
-0.8899,0.6455,2.2845
-0.8899,1.2910,-0.4569
-0.2966,0.6455,-3.1982
-0.2966,0.6455,2.7414
-0.2966,1.2910,0.0000
0.2966,0.6455,-0.9138
0.2966,1.2910,-3.1982
0.2966,1.2910,0.9138
0.8899,0.6455,-1.8276
0.8899,0.6455,2.2845
0.8899,1.2910,-0.4569
1.4831,0.6455,-3.1982
1.4831,0.6455,0.9138
1.4831,1.2910,-1.3707
1.4831,1.2910,2.7414
2.0764,0.6455,0.4569
2.0764,1.2910,-2.2845
2.0764,1.2910,2.2845
2.6696,0.6455,0.0000
2.6696,1.2910,-2.7414
2.6696,1.2910,1.8276
3.2629,0.6455,-0.9138
3.2629,1.2910,-2.7414
3.2629,1.2910,1.3707
3.8561,0.6455,0.0000
3.8561,1.2910,-1.3707
4.4493,0.6455,-1.8276
4.4493,1.2910,-1.3707
5.0426,0.6455,0.9138
5.6358,1.2910,1.3707
-5.6358,0.6455,-0.9138
-5.6358,1.2910,0.4569
-5.0426,0.6455,0.0000
-5.0426,1.2910,0.4569
-4.4493,0.6455,0.0000
-4.4493,1.2910,-0.4569
-3.8561,0.6455,-0.9138
-3.8561,0.6455,3.1982
-3.8561,1.2910,2.7414
-3.2629,0.6455,2.2845
-3.2629,1.2910,1.8276
-2.6696,0.6455,1.3707
-2.6696,1.2910,0.9138
-2.0764,0.6455,-1.3707
-2.0764,1.2910,-3.1982
-2.0764,1.2910,0.9138
-1.4831,0.6455,-1.8276
-1.4831,0.6455,2.2845
-1.4831,1.2910,-0.4569
-0.8899,0.6455,-3.1982
-0.8899,0.6455,2.2845
-0.8899,1.2910,-0.4569
-0.2966,0.6455,-3.1982
-0.2966,0.6455,2.7414
-0.2966,1.2910,0.0000
0.2966,0.6455,-0.9138
0.2966,1.2910,-3.1982
0.2966,1.2910,0.9138
0.8899,0.6455,-1.8276
